hdv_ratio,av_penetration_rate,success_rate,collision_rate,timeout_rate,avg_merge_time,avg_ttc,avg_delay,avg_ep_length
0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,21.55
0.25,0.75,100.0,0.0,0.0,0.0,0.0,0.0,21.700000000000003
0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,21.5
0.75,0.25,100.0,0.0,0.0,0.0,0.0,0.0,21.650000000000002
1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.150000000000002
